date,ticker,Open,High,Low,Close,Adj Close,Volume
2019-04-15,BBRI.JK,3954.47705078125,3963.56787109375,3918.1142578125,3954.47705078125,2552.937744140625,70577659.0
2019-04-16,BBRI.JK,3936.295654296875,3963.56787109375,3927.204833984375,3945.386474609375,2547.0693359375,99923195.0
2019-04-17,BBRI.JK,3945.386474609375,3945.386474609375,3945.386474609375,3945.386474609375,2547.0693359375,0.0
2019-04-18,BBRI.JK,4045.384765625,4299.92578125,3981.74951171875,4054.475341796875,2617.495361328125,200241958.0
2019-04-19,BBRI.JK,4054.475341796875,4054.475341796875,4054.475341796875,4054.475341796875,2617.495361328125,0.0
2019-04-22,BBRI.JK,4054.475341796875,4054.475341796875,4009.021728515625,4036.2939453125,2605.757568359375,112161787.0
2019-04-23,BBRI.JK,4009.021728515625,4045.384765625,4009.021728515625,4027.203125,2599.888671875,60325921.0
2019-04-24,BBRI.JK,4009.021728515625,4027.203125,3999.930908203125,3999.930908203125,2582.2822265625,190094393.0
2019-04-25,BBRI.JK,3981.74951171875,3990.840087890625,3872.660400390625,3936.295654296875,2541.200439453125,202913024.0
2019-04-26,BBRI.JK,3854.478759765625,3963.56787109375,3827.20654296875,3936.295654296875,2541.200439453125,146163924.0
2019-04-29,BBRI.JK,3899.9326171875,3954.47705078125,3890.841796875,3945.386474609375,2547.0693359375,84609831.0
2019-04-30,BBRI.JK,3990.840087890625,4009.021728515625,3945.386474609375,3972.65869140625,2564.67626953125,140586828.0
2019-05-01,BBRI.JK,3972.65869140625,3972.65869140625,3972.65869140625,3972.65869140625,2564.67626953125,0.0
2019-05-02,BBRI.JK,4018.1123046875,4018.1123046875,3945.386474609375,3972.65869140625,2564.67626953125,139594281.0
2019-05-03,BBRI.JK,3936.295654296875,3999.930908203125,3918.1142578125,3981.74951171875,2570.544921875,120435690.0
2019-05-06,BBRI.JK,3909.0234375,3909.0234375,3809.025146484375,3845.38818359375,2482.5126953125,157313497.0
2019-05-07,BBRI.JK,3827.20654296875,3890.841796875,3827.20654296875,3863.569580078125,2494.25,124070152.0
2019-05-08,BBRI.JK,3863.569580078125,3863.569580078125,3799.934326171875,3836.29736328125,2476.6435546875,132170032.0
2019-05-09,BBRI.JK,3763.5712890625,3781.7529296875,3745.389892578125,3745.389892578125,2417.955078125,179677103.0
2019-05-10,BBRI.JK,3727.208251953125,3781.7529296875,3718.11767578125,3745.389892578125,2417.955078125,132313475.0
2019-05-13,BBRI.JK,3754.480712890625,3763.5712890625,3727.208251953125,3727.208251953125,2406.21728515625,79066285.0
2019-05-14,BBRI.JK,3636.30078125,3718.11767578125,3609.028564453125,3681.754638671875,2376.87353515625,126601626.0
2019-05-15,BBRI.JK,3681.754638671875,3690.845458984375,3536.302490234375,3536.302490234375,2282.972412109375,184137240.0
2019-05-16,BBRI.JK,3581.75634765625,3627.2099609375,3472.667236328125,3509.0302734375,2265.365966796875,158507017.0
2019-05-17,BBRI.JK,3554.484130859375,3554.484130859375,3427.213623046875,3445.39501953125,2224.2841796875,170721848.0
2019-05-20,BBRI.JK,3454.48583984375,3499.939453125,3327.21533203125,3409.031982421875,2200.808837890625,181806520.0
2019-05-21,BBRI.JK,3454.48583984375,3490.848876953125,3372.6689453125,3409.031982421875,2200.808837890625,227189674.0
2019-05-22,BBRI.JK,3372.6689453125,3481.758056640625,3372.6689453125,3427.213623046875,2212.54638671875,130499434.0
2019-05-23,BBRI.JK,3472.667236328125,3536.302490234375,3454.48583984375,3499.939453125,2259.496826171875,230153565.0
2019-05-24,BBRI.JK,3436.30419921875,3572.66552734375,3427.213623046875,3499.939453125,2339.8251953125,165441097.0
2019-05-27,BBRI.JK,3545.393310546875,3609.028564453125,3509.0302734375,3563.57470703125,2382.367431640625,135938587.0
2019-05-28,BBRI.JK,3572.66552734375,3590.84716796875,3463.576416015625,3463.576416015625,2315.515380859375,414291135.0
2019-05-29,BBRI.JK,3536.302490234375,3590.84716796875,3509.0302734375,3581.75634765625,2394.5224609375,153687174.0
2019-05-30,BBRI.JK,3581.75634765625,3581.75634765625,3581.75634765625,3581.75634765625,2394.5224609375,0.0
2019-05-31,BBRI.JK,3627.2099609375,3745.389892578125,3618.119384765625,3727.208251953125,2491.762451171875,287219580.0
2019-06-03,BBRI.JK,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,2491.762451171875,0.0
2019-06-04,BBRI.JK,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,2491.762451171875,0.0
2019-06-05,BBRI.JK,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,2491.762451171875,0.0
2019-06-06,BBRI.JK,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,2491.762451171875,0.0
2019-06-07,BBRI.JK,3727.208251953125,3727.208251953125,3727.208251953125,3727.208251953125,2491.762451171875,0.0
2019-06-10,BBRI.JK,3836.29736328125,3881.751220703125,3818.115966796875,3845.38818359375,2570.769287109375,216423568.0
2019-06-11,BBRI.JK,3863.569580078125,3863.569580078125,3772.662109375,3845.38818359375,2570.769287109375,127900199.0
2019-06-12,BBRI.JK,3790.843505859375,3827.20654296875,3790.843505859375,3827.20654296875,2558.614013671875,102196275.0
2019-06-13,BBRI.JK,3863.569580078125,3863.569580078125,3799.934326171875,3818.115966796875,2552.536865234375,128510489.0
2019-06-14,BBRI.JK,3790.843505859375,3854.478759765625,3790.843505859375,3845.38818359375,2570.769287109375,79530053.0
2019-06-17,BBRI.JK,3863.569580078125,3863.569580078125,3818.115966796875,3818.115966796875,2552.536865234375,60714008.0
2019-06-18,BBRI.JK,3799.934326171875,3872.660400390625,3799.934326171875,3872.660400390625,2589.001708984375,174179428.0
2019-06-19,BBRI.JK,3927.204833984375,3945.386474609375,3890.841796875,3899.9326171875,2607.23388671875,183945837.0
2019-06-20,BBRI.JK,3936.295654296875,3936.295654296875,3890.841796875,3918.1142578125,2619.38916015625,118489316.0
2019-06-21,BBRI.JK,3899.9326171875,3963.56787109375,3872.660400390625,3963.56787109375,2649.776611328125,187213443.0
2019-06-24,BBRI.JK,3918.1142578125,3954.47705078125,3899.9326171875,3918.1142578125,2619.38916015625,90828128.0
2019-06-25,BBRI.JK,3954.47705078125,3954.47705078125,3899.9326171875,3936.295654296875,2631.54345703125,65402729.0
2019-06-26,BBRI.JK,3936.295654296875,3972.65869140625,3927.204833984375,3963.56787109375,2649.776611328125,113137174.0
2019-06-27,BBRI.JK,3981.74951171875,3990.840087890625,3954.47705078125,3981.74951171875,2661.931396484375,89922813.0
2019-06-28,BBRI.JK,3972.65869140625,3999.930908203125,3954.47705078125,3963.56787109375,2649.776611328125,112840719.0
2019-07-01,BBRI.JK,3999.930908203125,4018.1123046875,3981.74951171875,4018.1123046875,2686.24072265625,115331382.0
2019-07-02,BBRI.JK,4018.1123046875,4018.1123046875,3963.56787109375,4009.021728515625,2680.163818359375,147886774.0
2019-07-03,BBRI.JK,3990.840087890625,4018.1123046875,3963.56787109375,3999.930908203125,2674.086181640625,81810503.0
2019-07-04,BBRI.JK,3963.56787109375,3999.930908203125,3963.56787109375,3990.840087890625,2668.0087890625,42557425.0
2019-07-05,BBRI.JK,4018.1123046875,4018.1123046875,3981.74951171875,3999.930908203125,2674.086181640625,59149341.0
2019-07-08,BBRI.JK,3981.74951171875,4009.021728515625,3972.65869140625,3999.930908203125,2674.086181640625,50857398.0
2019-07-09,BBRI.JK,3972.65869140625,4009.021728515625,3972.65869140625,4009.021728515625,2680.163818359375,71191359.0
2019-07-10,BBRI.JK,4009.021728515625,4072.656982421875,3999.930908203125,4063.566162109375,2716.628662109375,89077008.0
2019-07-11,BBRI.JK,4081.74755859375,4127.20166015625,4072.656982421875,4099.92919921875,2740.9384765625,100559886.0
2019-07-12,BBRI.JK,4099.92919921875,4127.20166015625,4081.74755859375,4099.92919921875,2740.9384765625,71034166.0
2019-07-15,BBRI.JK,4127.20166015625,4145.3828125,4109.02001953125,4118.11083984375,2753.093505859375,75851590.0
2019-07-16,BBRI.JK,4090.83837890625,4136.2919921875,4090.83837890625,4136.2919921875,2765.248046875,92926745.0
2019-07-17,BBRI.JK,4109.02001953125,4136.2919921875,4090.83837890625,4109.02001953125,2747.015625,71834980.0
2019-07-18,BBRI.JK,4090.83837890625,4099.92919921875,4036.2939453125,4045.384765625,2704.473876953125,84732483.0
2019-07-19,BBRI.JK,4045.384765625,4081.74755859375,4036.2939453125,4072.656982421875,2722.705810546875,70769832.0
2019-07-22,BBRI.JK,4090.83837890625,4099.92919921875,4054.475341796875,4090.83837890625,2734.860595703125,46139636.0
2019-07-23,BBRI.JK,4090.83837890625,4090.83837890625,4063.566162109375,4081.74755859375,2728.78369140625,47649853.0
2019-07-24,BBRI.JK,4109.02001953125,4109.02001953125,4036.2939453125,4045.384765625,2704.473876953125,58359418.0
2019-07-25,BBRI.JK,4063.566162109375,4072.656982421875,4045.384765625,4054.475341796875,2710.55126953125,66445547.0
2019-07-26,BBRI.JK,4009.021728515625,4063.566162109375,3999.930908203125,4036.2939453125,2698.396240234375,85121120.0
2019-07-29,BBRI.JK,4072.656982421875,4072.656982421875,4036.2939453125,4054.475341796875,2710.55126953125,101066445.0
